Localidade;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010
Brasil;6005356.65;5826685.47;5841858.71;5726378.45;5473894.6;5186705.56;5357050.68;5222458.57;5149348.51;4723832.6;4592286.29
Norte;95866.42;91613.93;84325.82;87313.6;90352.36;77731.28;71183.62;61704.95;60888.8;45679.07;71572.95
Nordeste;775800.84;702778.46;719235.74;673998.41;709077.06;660197.39;652079.28;619781.85;655157.73;532318.64;530364.21
Sudeste;3978595.4;3921041.03;3999582.81;3948767.23;3676428.14;3516517.72;3700447.51;3659877.22;3568960.71;3352387.45;3213367.93
Sul;692758.92;675170.47;639044.33;627111.44;603507.9;570053.46;572945.64;546580.35;548689.97;492591.35;491320.63
Centro-Oeste;462335.07;436081.58;399670.01;389187.77;394529.14;362205.71;360394.63;334514.2;315651.3;300856.09;285660.57
Rondônia;4704.01;3989.32;3725.23;3187.8;3537.16;2645.87;2843.51;2760.77;2717.75;2278.46;2223.09
Acre;5329.65;4472.62;4279.92;4404.95;6449.32;6158.41;5995.14;4303.55;4709.85;3406;3781.75
Amazonas;22615.59;19754.57;17696.25;27526.8;27815.1;28301.26;28462.1;27379.04;26698.71;22373.5;48906.29
Roraima;19727.88;17147.36;16573.79;15811.78;15619.78;14823.52;8121.05;8904.02;8258.14;3686.14;3765.79
Pará;21717.24;25389.39;21039.52;17764.32;20211.38;11412.23;14759.37;7769.24;7925.53;3766.43;5931.66
Amapá;3315.2;3024.74;2979.51;2668.18;2276.91;2181.91;864;1131.23;2434.19;2130.39;0
Tocantins;18456.85;17835.93;18031.6;15949.77;14442.71;12208.08;10138.45;9457.1;8144.63;8038.15;6964.37
Maranhão;56981.72;49070.93;47209.9;37143.32;48019.25;41565.61;42529.46;59625.24;52102.78;43958.84;44496.75
Piauí;20112.87;18060.38;14052.96;12384.81;11387.65;10820.27;9388.71;8872.88;8392.78;7966.7;5211
Ceará;109163.84;99789.28;103545.4;96308.64;94764.28;96086.06;100764.21;97179.95;93072.13;87416.96;110126.01
Rio Grande do Norte;40097.55;38602.64;37134.42;34898.17;33945.21;31993.08;28535.33;28864.74;28040.88;36672.15;26403.08
Paraíba;68969.59;61172.29;69068.04;58551.57;75416.87;77914.91;75690.02;62163.86;67386.4;39434.18;45505.75
Pernambuco;130423.93;118196.52;107431.52;114659.31;107198.66;88103.82;97252.74;79132.6;74451.25;65956.39;61499.76
Alagoas;26504.02;21921.2;20490.06;17170.5;33995.71;30519.61;31670.24;27318.03;40649.95;19732.85;16199.57
Sergipe;30747.99;26612.75;28665.07;25492.15;26882.99;22704.41;19534.91;18915.84;19614.24;17291.02;15364.64
Bahia;292799.33;269352.47;291638.37;277389.94;277466.44;260489.62;246713.66;237708.71;271447.32;213889.55;205557.65
Minas Gerais;823986.74;800064.27;924767.04;908427.25;752964.82;697763.51;714947.85;698209.37;679953.21;615299.92;562136.41
Espírito Santo;125309.97;121479.1;118304.45;105439.44;98078.75;91214.78;98778.07;88103.08;82354.88;81346.19;78894.57
Rio de Janeiro;724677.41;801816.63;792474.85;777526.51;774668.19;786277.53;801653.2;777397.44;731558.41;684759.05;672922.24
São Paulo;2304621.28;2197681.03;2164036.47;2157374.03;2050716.38;1941261.9;2085068.39;2096167.33;2075094.21;1970982.29;1899414.71
Paraná;408005.95;405988.29;385717.24;377546.35;358781.74;345311.9;345849.12;327147.15;315721.19;291689.09;280448.75
Santa Catarina;101634.79;100409.77;86982.62;86676.42;80571.71;65833.27;57903.46;48808.34;48690.08;46366.14;43392.58
Rio Grande do Sul;183118.18;168772.41;166344.47;162888.67;164154.45;158908.29;169193.06;170624.86;184278.7;154536.12;167479.3
Mato Grosso do Sul;72215.38;60951.14;56763.33;56178.52;52697.42;49574.04;45589.68;39979.14;38145.99;31948.04;31348.72
Mato Grosso;63502.14;65193.04;50255.5;46307.72;47025.13;37462.9;32369.68;28670.37;24450.26;27471.69;21993.38
Goiás;186376.55;180014.4;167450.18;165347.53;159510.59;144591.77;154083.27;143555.69;134246.53;126177.68;121442.47
Distrito Federal;140241;129923;125201;121354;135296;130577;128352;122309;118808.52;115258.68;110876
